gk_id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Ast,G+A,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,Sh,Sh/90,xG_stats_shooting,npxG_stats_shooting,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Att_stats_defense,Lost,Blocks_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Tkld,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,CrdY_stats_misc,CrdR_stats_misc,Fls,Fld_stats_misc,Int_stats_misc,TklW_stats_misc,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
33,Aaron Ramsdale,eng ENG,GK,Southampton,eng Premier League,26.0,1998.0,30,30,2700,30.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,774,1223,63.3,21949,16992,0,0.0,0.1,0.0,0,36,1,0,918,298,108,0,4,774,0,0,0,3,3,0,0,2,2,10,3,3,0.1,2,1,0,0.0,1314,946,1286,32,0,0,1314,0,0,0,786,4017,2349,0,0,0,3,0,702,2,0,1,4,2,0,0,0,23,6,0,100.0,66.0,2.2,188.0,120.0,67.6,2.0,5.0,23.0,3.0,10.0,7.0,5.0,2.0,63.5,0.32,-2.5,-0.08,196.0,605.0,32.4,1026.0,129.0,44.6,36.0,457.0,25.0,5.5,20.0,0.67,11.7
34,David Raya,es ESP,GK,Arsenal,eng Premier League,28.0,1995.0,38,38,3420,38.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,1040,1413,73.6,24784,17222,0,0.0,0.1,0.0,1,45,3,14,1172,238,91,0,3,1040,0,0,0,2,2,0,0,2,2,21,9,5,0.13,4,1,1,0.03,1480,880,1388,92,0,0,1480,1,1,0,921,4542,2729,0,0,0,1,0,841,3,0,1,10,2,0,1,0,41,13,0,100.0,34.0,0.89,120.0,86.0,74.2,20.0,14.0,4.0,13.0,34.2,3.0,3.0,0.0,35.1,0.28,1.1,0.03,149.0,478.0,31.2,1263.0,178.0,29.9,29.9,402.0,53.0,13.2,66.0,1.74,17.2
35,José Sá,pt POR,GK,Wolverhampton Wanderers,eng Premier League,31.0,1993.0,29,29,2609,29.0,0,0,2,0,0.0,0.0,0.2,0.2,0.0,0.01,0,2,0,0.0,0.0,0.0,0.0,0.0,592,924,64.1,15334,10381,0,0.2,0.0,-0.2,3,22,1,2,706,215,65,1,0,592,2,2,2,2,0,0,0,0,2,15,1,5,0.17,5,0,0,0.0,985,785,976,10,0,0,985,8,8,0,630,3790,2483,0,0,0,1,0,485,2,0,4,9,0,2,4,0,37,11,1,91.7,48.0,1.66,117.0,69.0,63.2,11.0,5.0,13.0,7.0,24.1,7.0,5.0,2.0,42.8,0.33,-3.2,-0.11,94.0,382.0,24.6,771.0,121.0,39.3,35.2,432.0,32.0,7.4,43.0,1.48,15.5
36,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,26.0,1997.0,32,32,2880,32.0,0,0,5,0,0.0,0.0,0.1,0.1,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,871,1249,69.7,21022,13967,0,0.1,0.0,-0.1,2,26,1,1,1086,156,74,0,6,871,0,0,0,1,1,0,0,2,2,24,10,7,0.22,6,1,2,0.06,1323,980,1311,12,0,0,1323,0,0,0,881,4456,2852,0,0,0,0,0,822,5,0,2,4,2,0,2,0,43,12,0,100.0,34.0,1.06,127.0,92.0,76.4,17.0,9.0,6.0,10.0,31.3,5.0,4.0,1.0,35.7,0.25,1.7,0.05,98.0,424.0,23.1,1160.0,190.0,33.3,33.4,370.0,47.0,12.7,57.0,1.78,14.5
37,Matz Sels,be BEL,GK,Nottingham Forest,eng Premier League,32.0,1992.0,38,38,3420,38.0,0,0,4,0,0.0,0.0,0.4,0.4,0.0,0.01,1,2,0,0.0,0.0,0.0,0.0,0.0,519,998,52.0,19289,16407,0,0.4,0.3,-0.4,2,45,4,2,610,375,105,0,0,519,1,1,1,1,0,0,0,0,1,26,1,6,0.16,3,3,0,0.0,1102,833,1082,20,0,0,1102,0,0,0,528,3230,1697,1,1,1,0,0,426,4,0,1,10,0,1,1,0,17,15,2,88.2,46.0,1.21,165.0,119.0,73.9,19.0,8.0,11.0,13.0,34.2,3.0,3.0,0.0,49.1,0.29,3.1,0.08,244.0,698.0,35.0,715.0,83.0,68.4,44.7,710.0,19.0,2.7,12.0,0.32,8.7
38,Jason Steele,eng ENG,GK,Brighton,eng Premier League,33.0,1990.0,2,2,180,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,101,112,90.2,2321,1556,0,0.0,0.0,0.0,0,0,0,0,104,8,6,0,0,101,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,114,107,114,0,0,0,114,0,0,0,91,361,151,0,0,0,0,0,83,0,0,0,1,0,0,0,0,7,1,1,50.0,1.0,0.5,4.0,3.0,75.0,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.5,0.12,-0.5,-0.26,7.0,16.0,43.8,110.0,7.0,13.6,25.1,22.0,2.0,9.1,3.0,1.5,15.4
39,Jakub Stolarczyk,pl POL,GK,Leicester City,eng Premier League,23.0,2000.0,10,10,900,10.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,238,386,61.7,6215,4560,0,0.0,0.0,0.0,0,2,0,1,286,100,42,0,1,238,2,1,2,2,1,0,0,0,2,6,1,0,0.0,0,0,0,0.0,411,309,406,6,0,0,411,0,0,0,221,983,595,0,0,0,1,0,225,1,0,0,0,0,1,0,0,8,5,0,100.0,16.0,1.6,44.0,28.0,63.6,3.0,1.0,6.0,2.0,20.0,0.0,0.0,0.0,15.4,0.35,-0.6,-0.06,57.0,195.0,29.2,328.0,36.0,46.3,34.2,169.0,10.0,5.9,8.0,0.8,12.5
40,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,25.0,1999.0,5,5,450,5.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,100,142,70.4,3469,2692,0,0.0,0.0,0.0,0,3,0,0,95,47,8,0,0,100,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0,0,0,0.0,162,144,159,3,0,0,162,0,0,0,85,426,188,0,0,0,0,0,68,0,0,0,1,0,0,0,0,3,1,0,100.0,5.0,1.0,25.0,20.0,80.0,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,9.5,0.38,4.5,0.89,33.0,73.0,45.2,103.0,29.0,41.7,36.3,63.0,1.0,1.6,5.0,1.0,12.9
41,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,21.0,2002.0,36,36,3240,36.0,1,1,5,0,0.0,0.0,0.0,0.0,0.03,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,1011,1315,76.9,23986,16175,1,0.0,0.0,1.0,1,20,1,2,1164,145,62,0,0,1011,0,0,0,3,3,1,1,0,0,29,5,5,0.14,5,0,1,0.03,1406,1109,1392,14,0,0,1406,2,2,0,955,3507,1804,0,1,1,2,0,909,5,0,0,2,0,0,0,0,59,10,1,90.9,58.0,1.61,143.0,87.0,65.7,14.0,13.0,9.0,7.0,19.4,9.0,9.0,0.0,51.0,0.31,-5.0,-0.14,122.0,386.0,31.6,1226.0,122.0,26.9,29.7,414.0,27.0,6.5,47.0,1.31,13.9
42,Guglielmo Vicario,it ITA,GK,Tottenham Hotspur,eng Premier League,27.0,1996.0,24,24,2160,24.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,764,874,87.4,15137,8856,0,0.0,0.0,0.0,0,2,0,1,773,101,36,0,1,764,0,0,0,0,0,0,0,1,1,14,6,4,0.17,4,0,0,0.0,928,626,910,18,0,0,928,1,1,0,661,3067,1700,0,0,0,0,0,597,1,0,0,2,1,0,0,0,32,9,0,100.0,37.0,1.54,102.0,67.0,64.7,9.0,3.0,12.0,4.0,16.7,1.0,1.0,0.0,37.4,0.36,2.4,0.1,28.0,95.0,29.5,809.0,120.0,10.5,22.8,312.0,30.0,9.6,31.0,1.29,13.3
43,Christian Walton,eng ENG,GK,Ipswich Town,eng Premier League,28.0,1995.0,7,7,630,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,177,255,69.4,4784,3409,0,0.0,0.0,0.0,1,3,0,0,185,70,19,0,0,177,0,0,0,1,1,0,0,0,0,2,1,2,0.29,1,1,0,0.0,272,248,271,1,0,0,272,0,0,0,143,699,384,0,0,0,0,0,131,0,0,0,1,0,0,0,0,6,2,0,100.0,19.0,2.71,39.0,20.0,56.4,1.0,1.0,5.0,1.0,14.3,2.0,2.0,0.0,17.1,0.4,-1.9,-0.28,42.0,116.0,36.2,204.0,35.0,42.6,34.3,111.0,12.0,10.8,2.0,0.29,8.2
44,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,31.0,1993.0,2,1,135,1.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,41,53,77.4,1162,949,0,0.0,0.0,0.0,0,2,0,0,46,7,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,55,40,55,0,0,0,55,1,0,1,44,176,107,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1,0,0,0.0,6.0,4.0,10.0,4.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8,0.28,-3.2,-2.11,10.0,22.0,45.5,46.0,9.0,37.0,32.0,11.0,0.0,0.0,2.0,1.33,20.7
