Player_id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
419,Rodri,es ESP,MF,Manchester City,eng Premier League,28.0,1996.0,3,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,64,68,94.1,1142,277,0,0.0,0.1,0.0,1,3,1,0,4,67,1,1,0,0,0,0,0,0,0,0,64,2,1,1,1,0,0,0.0,0,1,0,1,1,3,1,0,2,2.47,2,0,0,0,0,0,0,0.0,74,1,14,37,24,0,74,1,0,0.0,0,0.0,39,172,82,1,2,0,0,0,56,1,0,0,0,1,2,0,0,1,1,0,0,0,7,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,Guido Rodríguez,ar ARG,MF,West Ham United,eng Premier League,30.0,1994.0,23,16,1149,12.8,0,1,1,0,0,0,6,0,0.2,0.2,0.2,0.4,0.08,0.03,4,33,7,8,1,12.5,0.63,0.08,0.0,0.0,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,480,569,84.4,8091,2164,1,0.2,0.2,0.8,4,37,1,0,33,554,15,14,1,5,5,1,0,0,0,0,480,36,19,21,15,0,33,51.5,16,23,9,14,13,49,35,1,12,0.94,10,0,0,2,0,0,1,0.08,709,54,223,423,64,5,709,6,3,50.0,1,16.7,327,1167,481,4,5,2,4,7,408,7,6,0,0,18,12,2,5,13,19,0,0,0,53,11,7,61.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,25.0,1999.0,19,11,1101,12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,0.16,0.26,17,51,54,5,2,40.0,0.41,0.16,0.0,0.0,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,422,536,78.7,6925,2249,2,3.0,2.1,-1.0,14,37,11,4,51,471,63,2,0,1,31,61,0,0,0,0,422,18,8,14,3,1,28,39.3,17,12,5,7,4,22,35,0,21,1.72,18,0,1,1,1,0,2,0.16,645,49,234,268,146,20,645,19,7,36.8,8,42.1,352,1630,858,17,13,0,9,6,406,54,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,eng Premier League,22.0,2002.0,37,37,3114,34.6,8,10,18,8,0,0,10,0,6.6,6.6,7.8,14.4,0.52,0.42,114,123,188,55,20,36.4,1.59,0.58,0.15,0.4,15.9,0,0,0,6.6,6.6,0.12,1.4,1.4,664,907,73.2,9771,3327,10,7.8,5.2,2.2,51,73,56,3,123,853,47,2,22,6,27,9,0,0,0,0,664,43,22,15,15,13,47,51.1,23,26,7,19,6,49,20,2,105,3.04,80,0,13,7,5,0,16,0.46,1362,43,200,592,597,142,1362,160,66,41.3,74,46.3,794,5594,3232,114,68,33,114,74,956,188,10,0,0,50,51,2,27,6,22,1,0,0,119,13,52,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,Cristian Romero,ar ARG,DF,Tottenham Hotspur,eng Premier League,26.0,1998.0,18,18,1416,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,0.06,0.14,12,71,3,16,8,50.0,1.02,0.51,0.06,0.13,9.1,0,0,0,1.6,1.6,0.1,-0.6,-0.6,1094,1223,89.5,20402,8197,0,0.6,0.8,-0.6,7,109,8,1,71,1120,101,80,4,2,3,7,0,0,0,0,1094,35,29,26,8,1,30,70.0,9,18,3,15,21,56,57,2,20,1.27,16,0,0,4,0,0,4,0.25,1377,157,594,720,74,23,1377,4,1,25.0,2,50.0,896,4702,2893,12,18,0,10,5,936,3,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,Georginio Rutter,fr FRA,"MF,FW",Brighton,eng Premier League,22.0,2002.0,28,19,1656,18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,0.43,0.39,42,67,79,50,12,24.0,2.72,0.65,0.1,0.42,15.5,0,0,0,4.6,4.6,0.09,0.4,0.4,237,355,66.8,3344,1174,3,2.5,1.7,0.5,19,30,16,1,67,344,9,0,12,0,9,0,0,0,0,0,237,39,15,13,18,8,36,38.9,22,20,3,17,10,49,13,2,64,3.47,37,0,9,7,9,2,8,0.43,641,20,83,246,326,79,641,71,27,38.0,34,47.9,361,2467,1405,42,36,16,45,37,411,79,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,Bukayo Saka,eng ENG,"FW,MF",Arsenal,eng Premier League,22.0,2001.0,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,0.78,0.75,96,70,255,66,22,33.3,3.44,1.15,0.08,0.23,15.6,1,1,1,6.8,6.0,0.09,-0.8,-1.0,552,731,75.5,8408,2487,10,7.6,7.8,2.4,58,15,38,12,70,644,83,7,4,2,117,12,64,56,0,2,552,29,15,9,11,9,24,54.2,11,22,0,22,3,32,8,0,117,6.09,71,20,12,10,4,0,23,1.2,979,6,57,216,715,162,978,90,41,45.6,37,41.1,628,4253,2460,96,32,51,34,40,711,255,3,0,0,15,39,7,117,3,15,1,0,0,70,10,20,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,32.0,1992.0,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,1.01,1.05,154,144,488,121,50,41.3,3.23,1.33,0.17,0.4,14.5,1,9,9,25.2,18.2,0.15,3.8,1.8,892,1263,70.6,13343,3919,18,14.2,9.1,3.8,88,53,93,15,144,1227,30,7,19,3,79,23,0,0,0,0,892,21,11,7,5,9,17,47.1,9,12,0,12,9,30,5,0,169,4.51,123,2,22,14,5,3,27,0.72,1695,11,97,500,1119,356,1686,137,58,42.3,72,52.6,1149,6973,3695,154,59,126,116,67,1407,488,1,0,0,25,39,18,79,9,11,0,0,0,101,9,14,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,William Saliba,fr FRA,DF,Arsenal,eng Premier League,23.0,2001.0,35,35,3039,33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,0.06,0.09,16,138,6,6,2,33.3,0.18,0.06,0.33,1.0,5.4,0,0,0,2.3,2.3,0.38,-0.3,-0.3,2413,2559,94.3,41458,12540,0,0.9,1.3,-0.9,7,180,6,0,138,2508,46,36,1,10,3,4,0,0,0,0,2413,62,37,37,23,2,28,75.0,7,25,15,10,21,83,119,7,27,0.8,25,0,0,1,0,1,1,0.03,2824,190,1127,1571,142,18,2824,19,12,63.2,6,31.6,1756,7626,4154,16,17,1,19,8,2137,6,2,1,0,28,17,1,3,21,37,0,1,0,154,61,36,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,Jadon Sancho,eng ENG,FW,Chelsea,eng Premier League,24.0,2000.0,31,19,1764,19.6,3,4,7,3,0,0,2,0,2.2,2.2,3.7,5.8,0.36,0.3,102,90,225,24,8,33.3,1.22,0.41,0.13,0.38,15.1,0,0,0,2.2,2.2,0.09,0.8,0.8,663,803,82.6,8932,2093,4,3.7,3.1,0.3,38,28,48,0,90,791,11,1,7,1,25,9,1,1,0,0,663,13,7,3,3,7,12,41.7,7,11,0,11,2,15,8,2,70,3.57,63,0,3,1,3,0,10,0.51,975,13,117,283,585,121,975,97,45,46.4,40,41.2,653,4450,2435,102,35,57,30,21,760,225,2,0,0,6,11,6,25,2,7,2,0,0,99,6,11,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
